"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"IGHV1-66","IGHV1-7","IGHV12-3"
"IGHV1-67","IGHV1-9","IGHV13-2"
"IGHV1-69","IGHV1-11","IGHV14-1"
"IGHV1-72","IGHV1-12","IGHV14-2"
"IGHV1-74","IGHV1-15","IGHV14-3"
"IGHV1-75","IGHV1-16","IGHV14-4"
"IGHV1-76","IGHV1-18","IGHV15-2"
"IGHV1-77","IGHV1-19","IGHV16-1"
"IGHV1-78","IGHV1-20","IGK-V28"
"IGHV1-80","IGHV1-22","IGKC"
"IGHV1-81","IGHV1-23","IGKJ1"
"IGHV1-82","IGHV1-24","IGKV2-137"
"IGHV1-84","IGHV1-26","IGKV6-14"
"IGHV1-85","IGHV1-31","IGLC1"
"IGHV2-2","IGHV1-34","IGLC2"
"IGHV2-3","IGHV1-36","IGLC3"
"IGHV2-4","IGHV1-37","IGLL1"
"IGHV2-5","IGHV1-39","IIGP1"
"IGHV2-6","IGHV1-42","IKBKE"
"IGHV2-6-8","IGHV1-43","IKZF3"
"IGHV2-7","IGHV1-47","IL1A"
"IGHV2-9","IGHV1-49","IL1B"
"IGHV2-9-1","IGHV1-50","IL1F5"
"IGHV3-1","IGHV1-52","IL1F6"
"IGHV3-3","IGHV1-53","IL1F8"
"IGHV3-4","IGHV1-54","IL1F9"
"IGHV3-5","IGHV1-55","IL1F10"
"IGHV3-6","IGHV1-56","IL1RAP"
"IGHV3-8","IGHV1-58","IL1RL2"
"IGHV4-1","IGHV1-59","IL1RN"
"IGHV5-2","IGHV1-61","IL2RA"
"IGHV5-4","IGHV1-62-1","IL4"
"IGHV5-6","IGHV1-62-2","IL4RA"
"IGHV5-9","IGHV1-62-3","IL6"
"IGHV5-9-1","IGHV1-63","IL10"
"IGHV5-12","IGHV1-64","IL10RB"
"IGHV5-12-4","IGHV1-66","IL12A"
"IGHV5-15","IGHV1-67","IL12B"
"IGHV5-16","IGHV1-69","IL12RB1"
"IGHV5-17","IGHV1-72","IL12RB2"
"IGHV6-3","IGHV1-74","IL15"
"IGHV6-4","IGHV1-75","IL17A"
"IGHV6-5","IGHV1-76","IL17RA"
"IGHV6-6","IGHV1-77","IL17RC"
"IGHV6-7","IGHV1-78","IL18"
"IGHV7-2","IGHV1-80","IL18RAP"
"IGHV7-4","IGHV1-81","IL21"
"IGHV8-2","IGHV1-82","IL22RA1"
"IGHV8-4","IGHV1-84","IL23A"
"IGHV8-5","IGHV1-85","IL23R"
"IGHV8-6","IGHV2-2","IL25"
"IGHV8-8","IGHV2-3","IL27"
"IGHV8-9","IGHV2-4","IL27RA"
"IGHV8-11","IGHV2-5","IL31RA"
"IGHV8-12","IGHV2-6","IL33"
"IGHV8-13","IGHV2-6-8","IL34"
"IGHV9-1","IGHV2-7","ILF3"
"IGHV9-2","IGHV2-9","ILRUN"
"IGHV9-3","IGHV2-9-1","INAVA"
"IGHV9-4","IGHV3-1","INS2"
"IGHV10-1","IGHV3-3","IPO7"
"IGHV10-3","IGHV3-4","IRAK1"
"IGHV11-1","IGHV3-5","IRAK2"
"IGHV11-2","IGHV3-6","IRAK3"
"IGHV12-3","IGHV3-8","IRAK4"
"IGHV13-2","IGHV4-1","IRF1"
"IGHV14-1","IGHV5-2","IRF2"
"IGHV14-2","IGHV5-4","IRF3"
"IGHV14-3","IGHV5-6","IRF4"
"IGHV14-4","IGHV5-9","IRF5"
"IGHV15-2","IGHV5-9-1","IRF7"
"IGHV16-1","IGHV5-12","IRF8"
"IGKC","IGHV5-12-4","IRGM1"
"IGKV1-35","IGHV5-15","IRGM2"
"IGKV1-88","IGHV5-16","ISG15"
"IGKV1-99","IGHV5-17","ISG20"
"IGKV1-110","IGHV6-3","ITCH"
"IGKV1-117","IGHV6-4","ITGAV"
"IGKV1-122","IGHV6-5","ITGAX"
"IGKV1-131","IGHV6-6","ITLN1"
"IGKV1-132","IGHV6-7","ITLNB"
"IGKV1-133","IGHV7-2","IVNS1ABP"
"IGKV1-135","IGHV7-4","JAGN1"
"IGKV2-109","IGHV8-2","JAK2"
"IGKV2-112","IGHV8-4","JAK3"
"IGKV2-137","IGHV8-5","JCHAIN"
"IGKV3-1","IGHV8-6","JUN"
"IGKV3-2","IGHV8-8","JUNB"
"IGKV3-3","IGHV8-9","JUND"
"IGKV3-4","IGHV8-11","KCNJ8"
"IGKV3-5","IGHV8-12","KIF5B"
"IGKV3-7","IGHV8-13","KIF16B"
"IGKV3-9","IGHV9-1","KLHL6"
"IGKV3-10","IGHV9-2","KLK5"
"IGKV3-12","IGHV9-3","KLK7"
"IGKV4-50","IGHV9-4","KLRA8"
"IGKV4-51","IGHV10-1","KLRB1B"
"IGKV4-53","IGHV10-3","KLRB1C"
"IGKV4-54","IGHV11-1","KLRD1"
"IGKV4-55","IGHV11-2","KLRE1"
"IGKV4-57","IGHV12-3","KLRG1"
"IGKV4-57-1","IGHV13-2","KLRK1"
"IGKV4-58","IGHV14-1","KPNA6"
"IGKV4-59","IGHV14-2","KRT1"
"IGKV4-61","IGHV14-3","KRT6A"
"IGKV4-62","IGHV14-4","KRT8"
"IGKV4-63","IGHV15-2","KRT16"
"IGKV4-68","IGHV16-1","KYAT1"
"IGKV4-69","IGKC","KYNU"
"IGKV4-70","IGLC1","LAG3"
"IGKV4-71","IGLC2","LALBA"
"IGKV4-72","IGLC3","LAMP1"
"IGKV4-74","IGLL1","LBP"
"IGKV4-78","IGTP","LCN2"
"IGKV4-79","IIGP1","LDOC1"
"IGKV4-80","IKBKE","LEAP2"
"IGKV4-81","IL1A","LEP"
"IGKV4-86","IL1B","LGALS3"
"IGKV4-90","IL1F5","LGALS8"
"IGKV4-91","IL1F6","LGALS9"
"IGKV4-92","IL1F8","LGR4"
"IGKV5-37","IL1F9","LIAS"
"IGKV5-39","IL1F10","LILRB4A"
"IGKV5-43","IL1R1","LITAF"
"IGKV5-45","IL1R2","LPL"
"IGKV5-48","IL1RAP","LPO"
"IGKV6-13","IL1RL1","LRAT"
"IGKV6-14","IL1RL2","LRG1"
"IGKV6-15","IL1RN","LRP8"
"IGKV6-17","IL2","LRRC14"
"IGKV6-20","IL2RA","LRRC19"
"IGKV6-23","IL4","LRRFIP2"
"IGKV6-25","IL4RA","LRSAM1"
"IGKV6-29","IL5RA","LSM5"
"IGKV6-32","IL6","LSM14A"
"IGKV7-33","IL10","LTA"
"IGKV8-16","IL10RB","LTF"
"IGKV8-18","IL12A","LY6A"
"IGKV8-19","IL12B","LY6G6C"
"IGKV8-21","IL12RB1","LY9"
"IGKV8-24","IL13","LY86"
"IGKV8-26","IL15","LY96"
"IGKV8-27","IL17A","LYG1"
"IGKV8-28","IL17B","LYG2"
"IGKV8-30","IL17C","LYN"
"IGKV8-34","IL17D","LYPD8"
"IGKV9-120","IL17F","LYST"
"IGKV9-123","IL17RA","LYZ1"
"IGKV9-124","IL17RB","LYZ2"
"IGKV9-129","IL17RC","LYZL1"
"IGKV10-94","IL17RE","LYZL4"
"IGKV10-95","IL18","LYZL6"
"IGKV10-96","IL18R1","MACROD2"
"IGKV11-125","IL18RAP","MALT1"
"IGKV12-38","IL20RB","MAP2K7"
"IGKV12-41","IL21","MAP3K5"
"IGKV12-44","IL22","MAP3K14"
"IGKV12-46","IL22RA1","MAP4K2"
"IGKV12-89","IL22RA2","MAPK1"
"IGKV12-98","IL23A","MAPK3"
"IGKV13-84","IL23R","MAPK8"
"IGKV13-85","IL25","MAPK11"
"IGKV14-100","IL27","MAPK14"
"IGKV14-111","IL27RA","MAPKAPK2"
"IGKV14-130","IL31RA","MAPKAPK3"
"IGKV15-103","IL33","MAPKBP1"
"IGKV16-104","IL34","MARCO"
"IGKV17-121","ILF3","MASP1"
"IGKV17-127","ILRUN","MASP2"
"IGKV18-36","INAVA","MATR3"
"IGKV19-93","INS2","MAVS"
"IGKV20-101-2","IPO7","MBL1"
"IGLC1","IRAK1","MBL2"
"IGLC2","IRAK2","MCOLN2"
"IGLC3","IRAK3","MECOM"
"IGLL1","IRAK4","MED1"
"IGLV1","IRF1","MEF2C"
"IGLV2","IRF2","MEFV"
"IGLV3","IRF3","METTL3"
"IIGP1","IRF4","MFHAS1"
"IKBKE","IRF5","MGST1"
"IL1A","IRF7","MID2"
"IL1B","IRF8","MIF"
"IL1F5","IRGM1","MILL2"
"IL1F6","IRGM2","MIR7-1"
"IL1F8","ISG15","MIR7-2"
"IL1F9","ISG20","MIR7B"
"IL1F10","ISL1","MIR10A"
"IL1R1","ITCH","MIR15A"
"IL1RAP","ITGA2","MIR15B"
"IL1RL1","ITGAM","MIR16-1"
"IL1RL2","ITGAV","MIR16-2"
"IL1RN","ITGAX","MIR17"
"IL2","ITGB2","MIR18"
"IL2RA","ITGB2L","MIR19B-1"
"IL3","ITGB6","MIR19B-2"
"IL4","ITIH4","MIR20A"
"IL4RA","ITLNB","MIR21A"
"IL5","JAGN1","MIR23B"
"IL5RA","JAK2","MIR24-1"
"IL6","JAK3","MIR24-2"
"IL7","JAM3","MIR26A-1"
"IL7R","JCHAIN","MIR26A-2"
"IL9","JUN","MIR26B"
"IL10","KALRN","MIR27A"
"IL12A","KARS","MIR27B"
"IL12B","KCNJ8","MIR29A"
"IL12RB1","KDM6B","MIR29B-1"
"IL13","KIF5B","MIR29B-2"
"IL13RA2","KIF16B","MIR30A"
"IL15","KIT","MIR30B"
"IL18","KL","MIR30C-1"
"IL18BP","KLK1B1","MIR30C-2"
"IL18R1","KLK5","MIR30D"
"IL18RAP","KLK7","MIR30E"
"IL20RB","KLKB1","MIR98"
"IL21","KLRB1B","MIR103-1"
"IL23A","KLRB1C","MIR103-2"
"IL23R","KLRD1","MIR106A"
"IL25","KLRE1","MIR106B"
"IL27","KLRG1","MIR107"
"IL27RA","KLRK1","MIR122"
"IL31RA","KNG1","MIR125A"
"IL33","KPNA6","MIR126A"
"IL34","KRT1","MIR133A-1"
"ILF2","KRT6A","MIR133A-2"
"ILRUN","KRT16","MIR133B"
"INAVA","KYNU","MIR139"
"INPP5D","LAG3","MIR140"
"INS2","LALBA","MIR142"
"IPO7","LAMP1","MIR144"
"IRAK1","LAT","MIR146"
"IRAK1BP1","LBP","MIR146B"
"IRAK2","LCN2","MIR147"
"IRAK3","LDLR","MIR148A"
"IRAK4","LEAP2","MIR150"
"IRF1","LEP","MIR155"
"IRF3","LGALS3","MIR181A-1"
"IRF4","LGALS8","MIR181A-2"
"IRF5","LGALS9","MIR181B-2"
"IRF7","LGR4","MIR181C"
"IRF8","LIAS","MIR182"
"IRGM1","LILRA5","MIR184"
"IRGM2","LILRB4A","MIR192"
"ISG15","LIPA","MIR193A"
"ISG20","LOXL3","MIR194-1"
"ITCH","LPL","MIR194-2"
"ITFG2","LPO","MIR199A-1"
"ITGAL","LRFN5","MIR199A-2"
"ITGAM","LRP1","MIR200B"
"ITGB2","LRP8","MIR200C"
"ITK","LRRC14","MIR202"
"ITM2A","LRRC19","MIR205"
"JAG1","LRRFIP2","MIR210"
"JAK2","LRRK2","MIR215"
"JAK3","LRSAM1","MIR217"
"JAM3","LSM14A","MIR223"
"JCHAIN","LSP1","MIR224"
"KARS","LTA","MIR291B"
"KCNN4","LTB4R1","MIR293"
"KDELR1","LTB4R2","MIR301"
"KDM5D","LTF","MIR323"
"KIF5B","LXN","MIR331"
"KIF16B","LY9","MIR342"
"KIT","LY86","MIR345"
"KLHL6","LY96","MIR350"
"KLK5","LYG1","MIR374B"
"KLK7","LYG2","MIR381"
"KLRB1B","LYN","MIR383"
"KLRB1C","LYPD1","MIR409"
"KLRD1","LYPD8","MIR421"
"KLRE1","LYST","MIR425"
"KLRG1","LYZ1","MIR431"
"KLRK1","LYZ2","MIR433"
"KRT1","LYZL1","MIR451A"
"KRT6A","LYZL4","MIR467D"
"KRT16","LYZL6","MIR484"
"KYNU","MALT1","MIR486"
"LAG3","MAP2K3","MIR494"
"LAMP1","MAP3K5","MIR497"
"LAMP3","MAP3K14","MIR500"
"LAT","MAP4K2","MIR501"
"LAT2","MAPK3","MIR511"
"LAX1","MAPK8","MIR598"
"LBP","MAPK8IP2","MIR672"
"LCK","MAPK14","MIR700"
"LCN2","MAPKAPK2","MIR714"
"LCP1","MAPKAPK3","MIR744"
"LCP2","MAPKBP1","MIR1899"
"LEAP2","MARCO","MIRLET7A-1"
"LEF1","MAS1","MIRLET7A-2"
"LEP","MASP1","MIRLET7B"
"LFNG","MASP2","MIRLET7D"
"LGALS1","MATR3","MIRLET7G"
"LGALS3","MAVS","MIRLET7I"
"LGALS8","MBL1","MLH1"
"LGALS9","MBL2","MMP2"
"LGR4","MCOLN2","MMP7"
"LIF","MCPH1","MMP12"
"LIG4","MDK","MNDAL"
"LILRB4A","MECOM","MOV10"
"LIME1","MECP2","MPEG1"
"LOXL3","MED1","MPO"
"LPIN1","MEF2C","MPTX1"
"LPXN","MEFV","MPTX2"
"LRP1","MEP1B","MR1"
"LRP8","METRNL","MRC1"
"LRRC14","METTL3","MS4A1"
"LRRC19","MFHAS1","MSRB1"
"LRRFIP2","MGLL","MST1R"
"LSM14A","MID2","MT2"
"LST1","MIF","MTDH"
"LTA","MILL2","MUC5B"
"LTB","MIR21A","MUL1"
"LTBR","MIR147","MX1"
"LTF","MIR155","MX2"
"LY9","MIR301","MYD88"
"LY86","MIR324","MYO1C"
"LY96","MIR511","MYO1F"
"LYN","MIR883B","MYO18A"
"LYST","MIR7578","NAALADL2"
"MAD2L2","MMP2","NAIP2"
"MALT1","MMP7","NAIP5"
"MAP3K5","MMP8","NAIP6"
"MAP3K14","MMP12","NCBP3"
"MAP4K2","MMP25","NCF1"
"MAPK1","MNDAL","NCF2"
"MAPK3","MORC1","NCK1"
"MAPK14","MOV10","NCL"
"MAPKAPK2","MPEG1","NCR1"
"MAPKAPK3","MPO","NDUFS4"
"1-Mar","MPTX1","NECTIN2"
"8-Mar","MPTX2","NEXN"
"MARCO","MR1","NFIB"
"MASP1","MRC1","NFKB1"
"MASP2","MRGPRA3","NFKBIA"
"MATR3","MS4A2","NFKBIB"
"MAVS","MSRB1","NFKBIL1"
"MBL1","MST1R","NKX2-1"
"MBL2","MUC5B","NLRC3"
"MCOLN1","MUC19","NLRC4"
"MCOLN2","MUL1","NLRC5"
"MDK","MVK","NLRP1A"
"MED1","MX1","NLRP1B"
"MEF2C","MX2","NLRP3"
"MEFV","MYD88","NLRP6"
"METTL3","MYLK3","NLRP9A"
"MFHAS1","MYO1C","NLRP9B"
"MFNG","MYO1F","NLRP9C"
"MFSD6","MYO18A","NLRP10"
"MID2","NAIP2","NLRX1"
"MIF","NAIP5","NMI"
"MILL1","NAIP6","NOCT"
"MILL2","NAMPT","NOD1"
"MILR1","NAPEPLD","NOD2"
"MIR21A","NCBP3","NONO"
"MIR155","NCF1","NOP53"
"MIR181B-1","NCR1","NOS1"
"MIR181B-2","NDFIP1","NOS2"
"MIR301","NDST1","NOS3"
"MIR326","NDUFC2","NOTCH2"
"MIR511","NDUFS4","NPLOC4"
"MIR873A","NECTIN2","NPY"
"MLH1","NEUROD2","NR1D1"
"MMP2","NFE2L1","NR1H2"
"MMP7","NFE2L2","NR1H3"
"MMP12","NFKB1","NR1H4"
"MNDAL","NFKB2","NR1H5"
"MOG","NFKBIA","NR1I2"
"MPEG1","NFKBID","NR1I3"
"MPTX1","NFKBIL1","NRAS"
"MPTX2","NFKBIZ","NRROS"
"MR1","NGP","NT5C3"
"MRC1","NLRC3","NTS"
"MS4A1","NLRC4","NUGGC"
"MS4A2","NLRC5","OAS1A"
"MSH2","NLRP1A","OAS1B"
"MSH6","NLRP1B","OAS1C"
"MSRB1","NLRP3","OAS1D"
"MST1R","NLRP4A","OAS1E"
"MTOR","NLRP4B","OAS1F"
"MUC4","NLRP4C","OAS1G"
"MUL1","NLRP4E","OAS1H"
"MX1","NLRP4F","OAS2"
"MX2","NLRP6","OAS3"
"MYB","NLRP9A","OASL1"
"MYD88","NLRP9B","OASL2"
"MYO1C","NLRP9C","OCIAD2"
"MYO1F","NLRP10","OGT"
"MYO1G","NLRP12","OPRK1"
"MYO18A","NLRX1","OPTN"
"NAIP2","NMI","OTOP1"
"NAIP5","NOD1","OTUD4"
"NAIP6","NOD2","OTULIN"
"NBN","NONO","P2RX7"
"NCKAP1L","NOP53","PABPN1"
"NDFIP1","NOS2","PADI4"
"NDUFS4","NOTCH1","PAF1"
"NECTIN2","NOTCH2","PALM3"
"NEDD4","NOX1","PARG"
"NFAM1","NOX3","PARP9"
"NFATC2","NOX4","PARP14"
"NFIL3","NPAS2","PCBP2"
"NFKB2","NPLOC4","PCK1"
"NFKBIA","NPPA","PDCD1LG2"
"NFKBID","NPY","PDCD4"
"NFKBIL1","NPY2R","PDE4B"
"NFKBIZ","NPY5R","PDE4D"
"NKX2-3","NR1D1","PDE12"
"NLRC3","NR1D2","PDPK1"
"NLRC4","NR1H3","PELI1"
"NLRC5","NR1H4","PELI3"
"NLRP1A","NR2E1","PENK"
"NLRP1B","NRAS","PF4"
"NLRP3","NRROS","PFPL"
"NLRP6","NT5C3","PGC"
"NLRP9A","NT5E","PGLYRP1"
"NLRP9B","NUPR1","PGLYRP2"
"NLRP9C","OAS1A","PGLYRP3"
"NLRP10","OAS1C","PGLYRP4"
"NLRX1","OAS1D","PIK3AP1"
"NMI","OAS1E","PIK3CD"
"NOD1","OAS1F","PIK3R6"
"NOD2","OAS1G","PISD-PS1"
"NONO","OAS1H","PJA2"
"NOP53","OAS2","PKLR"
"NOS2","OAS3","PLA2G1B"
"NOTCH1","OASL1","PLA2G2F"
"NOTCH2","OASL2","PLA2G6"
"NPLOC4","ODAM","PLAA"
"NPPA","OLR1","PLAAT3"
"NPY","OPRK1","PLAC8"
"NPY5R","OPTN","PLCG2"
"NR1D1","ORM1","PLD1"
"NR1H3","ORM2","PLSCR1"
"NR1H4","OSM","PML"
"NR4A3","OTOP1","PMP22"
"NRAS","OTUD4","PNLIPRP2"
"NRROS","OTULIN","POLR3A"
"NSD2","P2RX1","POLR3B"
"NTS","P2RX7","POLR3C"
"OAS1C","PADI4","POLR3D"
"OAS1D","PARK7","POLR3E"
"OAS2","PARP4","POLR3F"
"OAS3","PARP9","POLR3G"
"OASL1","PARP14","POLR3H"
"OASL2","PBK","POLR3K"
"OLFM4","PCBP2","POMC"
"OPRK1","PDCD4","PPARD"
"OPTN","PDE2A","PPARG"
"ORAI1","PDE5A","PPBP"
"OSCAR","PDE8B","PPM1B"
"OSM","PDE12","PPM1D"
"OTOP1","PDPK1","PPNR"
"OTUB1","PELI1","PPP1R11"
"OTUD4","PELI3","PPP1R14B"
"OTUD5","PENK","PPP1R14BL"
"OTUD7B","PER1","PPP2R3C"
"OTULIN","PF4","PPP6C"
"P2RX7","PFPL","PQBP1"
"P2RY14","PGC","PRDM1"
"PADI4","PGLYRP1","PRDX1"
"PAG1","PGLYRP2","PRDX2"
"PAGR1A","PGLYRP3","PRDX3"
"PARK7","PGLYRP4","PRF1"
"PARP3","PIK3AP1","PRG2"
"PARP9","PIK3CD","PRKCA"
"PARP14","PIK3CG","PRKCD"
"PAWR","PIK3R6","PRKCE"
"PAXIP1","PJA2","PRKD1"
"PCBP2","PLA2G1B","PRKDC"
"PDCD1","PLA2G2F","PRLR"
"PDCD1LG2","PLA2G4A","PRPF8"
"PDE4B","PLA2G5","PSMB9"
"PDE12","PLA2G6","PSPC1"
"PDPK1","PLA2G7","PSTPIP1"
"PELI1","PLAA","PTAFR"
"PELI3","PLAC8","PTGER1"
"PF4","PLD1","PTGER2"
"PGC","PLGRKT","PTGER3"
"PGLYRP1","PLK5","PTGER4"
"PGLYRP2","PLP1","PTGFR"
"PGLYRP3","PLSCR1","PTGIR"
"PGLYRP4","PML","PTGS2"
"PHB","PMP22","PTGS2OS"
"PHF11A","PNLIPRP2","PTPN2"
"PHPT1","PNMA1","PTPN6"
"PI4K2A","POLB","PTPN22"
"PIANP","POLR3A","PTPRC"
"PIGR","POLR3B","PTPRS"
"PIK3AP1","POLR3C","PTX3"
"PIK3CD","POLR3D","PUM1"
"PIK3R6","POLR3E","PUM2"
"PIRB","POLR3F","PVR"
"PJA2","POLR3G","PYCARD"
"PKN1","POLR3H","PYGL"
"PLA2G1B","POLR3K","RAB1A"
"PLA2G2F","POMC","RAB7B"
"PLA2G3","PPARA","RAB11FIP2"
"PLA2G6","PPARD","RAB11FIP5"
"PLCG1","PPARG","RAB12"
"PLCG2","PPBP","RAB14"
"PLCL2","PPM1B","RAB20"
"PLD2","PPP1R11","RAB27A"
"PLEKHA1","PPP1R14B","RAB29"
"PLSCR1","PPP1R14BL","RAB34"
"PML","PPP3R2","RAB43"
"PMP22","PPP6C","RAET1A"
"PMS2","PQBP1","RAET1B"
"PNMA1","PRCP","RAET1C"
"PNP","PRDM1","RAET1D"
"POLR3A","PRDX1","RAG2"
"POLR3B","PRDX2","RARA"
"POLR3C","PRF1","RARRES2"
"POLR3D","PRG2","RASGRP1"
"POLR3E","PRKCA","RBM14"
"POLR3F","PRKCD","RBPJ"
"POLR3G","PRKCE","RDH18-PS"
"POLR3H","PRKCQ","REG1"
"POLR3K","PRKCZ","REG2"
"POMC","PRKD1","REG3A"
"POU2F2","PRKDC","REG3B"
"PPARG","PROC","REG3D"
"PPBP","PSEN1","REG3G"
"PPP1R14B","PSMA1","REG4"
"PPP1R14BL","PSMB4","RELA"
"PPP2R3C","PSPC1","RESF1"
"PPP3CB","PSTPIP1","RETNLB"
"PPP6C","PTAFR","RFTN1"
"PQBP1","PTGDR","RGS1"
"PRAM1","PTGER1","RHOA"
"PRDM1","PTGER2","RIOK3"
"PRDX1","PTGER3","RIPK2"
"PRF1","PTGER4","RNASE1"
"PRG2","PTGFR","RNASE6"
"PRG3","PTGIR","RNASEL"
"PRG4","PTGIS","RNF5"
"PRKCB","PTGS1","RNF19B"
"PRKCD","PTGS2","RNF26"
"PRKCE","PTGS2OS","RNF135"
"PRKCH","PTK2B","RNF216"
"PRKCQ","PTN","RNU3A"
"PRKCZ","PTPN2","ROMO1"
"PRKD1","PTPN6","RPL13A"
"PRKD2","PTPN22","RPL30"
"PRKDC","PTPRC","RPL39"
"PRNP","PTPRS","RPS6KA3"
"PRR7","PTX3","RPS6KB1"
"PSEN1","PUM1","RPS15A"
"PSEN2","PUM2","RPS19"
"PSG17","PVR","RRP1B"
"PSMA1","PXK","RSAD2"
"PSMB4","PYCARD","RTN4"
"PSPC1","RAB1A","RTP4"
"PSTPIP1","RAB7B","S100A8"
"PTAFR","RAB11FIP2","S100A9"
"PTGER4","RAB11FIP5","S100A14"
"PTGS2OS","RAB12","SAA1"
"PTK2B","RAB14","SAA3"
"PTPN2","RAB20","SAMHD1"
"PTPN6","RAB23","SARM1"
"PTPN22","RAB27A","SASH1"
"PTPRC","RAB34","SBNO2"
"PTPRD","RAB43","SCARB1"
"PTPRJ","RABGEF1","SCD1"
"PTPRS","RAET1A","SCIMP"
"PTX3","RAET1B","SCN7A"
"PUM1","RAET1C","SDHAF4"
"PUM2","RAET1D","SEC14L1"
"PVR","RAG1","SEH1L"
"PVRIG","RAG2","SELENOK"
"PYCARD","RARRES2","SELENOS"
"RAB7B","RASGRP1","SERINC3"
"RAB11FIP2","RB1","SERINC5"
"RAB11FIP5","RBM14","SERPINA3F"
"RAB12","RBMS3","SERPINA3N"
"RAB17","RBPJ","SERPINB1A"
"RAB20","REG3A","SERPINB3A"
"RAB27A","REG3B","SERPINB9"
"RAB29","REG3G","SERPINE1"
"RAB43","REL","SERPING1"
"RABGEF1","RELA","SETD2"
"RAC2","RELB","SFPQ"
"RAET1A","RFTN1","SFTPD"
"RAET1B","RHBDD3","SH2D1A"
"RAET1C","RICTOR","SH2D1B1"
"RAET1D","RIOK3","SH2D1B2"
"RAET1E","RIPK2","SHC1"
"RAG1","RNASE6","SHFL"
"RAP1A","RNASEL","SHMT2"
"RAPGEF1","RNF19B","SHPK"
"RARA","RNF26","SIGLECG"
"RARRES2","RNF135","SIN3A"
"RASGRP1","RNF216","SIRPA"
"RBCK1","ROMO1","SIRT2"
"RBM14","RORA","SKP2"
"RBPJ","RPL13A","SLAMF1"
"RC3H1","RPL30","SLAMF6"
"RC3H2","RPL39","SLAMF7"
"REG1","RPS6KA3","SLAMF8"
"REG2","RPS6KA4","SLC10A2"
"REG3A","RPS6KA5","SLC11A1"
"REG3B","RPS6KB1","SLC17A5"
"REG3D","RPS19","SLC22A19"
"REG3G","RSAD2","SLC26A6"
"RELA","RTN4","SLC46A2"
"RELB","RTP4","SLFN2"
"RFTN1","S1PR3","SLFN4"
"RGCC","S100A7A","SLFN8"
"RIF1","S100A8","SLFN9"
"RIOK3","S100A9","SLPI"
"RIPK2","S100A14","SMAD3"
"RIPK3","SAA1","SMAD6"
"RNASE6","SAA2","SMPDL3B"
"RNF8","SAA3","SNCA"
"RNF19B","SAA4","SNHG1"
"RNF31","SAMHD1","SNX3"
"RNF125","SARM1","SOCS1"
"RNF135","SBNO2","SP110"
"RNF168","SCD1","SPACA3"
"ROMO1","SCGB1A1","SPACA5"
"RORA","SCIMP","SPAG11A"
"RORC","SCN9A","SPAG11B"
"RPL13A","SCYL1","SPINK5"
"RPL30","SCYL3","SPN"
"RPL39","SDC1","SPON2"
"RPS3","SDHAF4","SSC5D"
"RPS6","SEC14L1","ST13"
"RPS6KA3","SEH1L","STAB1"
"RPS6KB1","SELE","STAB2"
"RPS19","SELENOK","STAP1"
"RSAD2","SELENOS","STAT1"
"RTN4","SELP","STAT2"
"S100A8","SEMA7A","STAT5A"
"S100A9","SERINC3","STAT5B"
"S100A14","SERINC5","STOX2"
"SAC3D1","SERPINA1B","STX4A"
"SAMHD1","SERPINA3N","STX8"
"SAMSN1","SERPINB1A","STX11"
"SARM1","SERPINB3A","STXBP1"
"SASH3","SERPINB9","STXBP2"
"SBNO2","SERPINE1","STXBP3"
"SBSPON","SERPINF1","STXBP4"
"SCAP","SERPINF2","SUSD4"
"SCIMP","SERPING1","SYK"
"SDHAF4","SETD2","SYNCRIP"
"SEC14L1","SETD6","SYT11"
"SECTM1A","SFPQ","TAB2"
"SECTM1B","SFTPD","TAC1"
"SELENOS","SGMS1","TAGAP"
"SEMA4A","SH2D1A","TAP1"
"SEMA7A","SH2D1B1","TAP2"
"SERINC3","SH2D1B2","TARBP2"
"SERINC5","SHANK3","TARM1"
"SERPINA3G","SHARPIN","TBK1"
"SERPINB1A","SHC1","TBKBP1"
"SERPINB3A","SHFL","TBXA2R"
"SERPINB9","SHMT2","TCF3"
"SERPINB9B","SHPK","TCRA-J"
"SERPING1","SIGIRR","TDGF1"
"SETD2","SIGLECE","TENT5A"
"SFPQ","SIGLECG","TFAP2A"
"SFTPD","SIN3A","TFEB"
"SH2B2","SIRPA","TGFB1"
"SH2D1A","SIRT2","TGTP1"
"SH2D1B1","SKP2","THRSP"
"SH2D1B2","SLAMF1","TICAM1"
"SHB","SLAMF6","TICAM2"
"SHFL","SLAMF7","TIFA"
"SHLD1","SLAMF8","TIRAP"
"SHLD2","SLC7A2","TKFC"
"SHMT2","SLC11A1","TLR1"
"SIGLECG","SLC26A6","TLR2"
"SIN3A","SLC46A2","TLR3"
"SIRPA","SLFN8","TLR4"
"SIRT1","SLFN9","TLR5"
"SIT1","SLIT2","TLR6"
"SKAP1","SLPI","TLR7"
"SKINT1","SMAD3","TLR8"
"SKINT2","SMO","TLR9"
"SKINT3","SMPDL3B","TLR11"
"SKINT4","SNAP23","TLR12"
"SKINT5","SNCA","TLR13"
"SKINT6","SNX4","TMEM106A"
"SKINT7","SOCS1","TMEM173"
"SKINT8","SOCS3","TMEM229B"
"SKINT9","SOCS5","TMEM255A"
"SKINT10","SOD1","TMF1"
"SKINT11","SP110","TNF"
"SKP2","SPACA3","TNFAIP3"
